INGR_ENG_NAME,INGR_KOR_NAME
LAURALKONIUM CHLORIDE,라우랄코늄클로라이드
BENZOIC ACID,벤조익애씨드
SODIUM METHYLPARABEN,소듐메틸파라벤
ETHYLPARABEN,에틸파라벤
ETHYL BENZOATE,에틸벤조에이트
CETEARALKONIUM BROMIDE,세탈코늄브로마이드
STEARALKONIUM CHLORIDE,스테아랄코늄클로라이드
TEA-UNDECYLENATE,티이에이-운데실레네이트
MEA-UNDECYLENATE,엠이에이-운데실레네이트
POTASSIUM BENZOATE,포타슘벤조에이트
CHLORHEXIDINE DIACETATE,클로헥시딘다이아세테이트
LAURALKONIUM BROMIDE,라우랄코늄브로마이드
PHENOXYETHANOL,페녹시에탄올
PHENYL BENZOATE,페닐벤조에이트
SODIUM ETHYLPARABEN,소듐에틸파라벤
SALICYLIC ACID,살리실릭애씨드
SODIUM DEHYDROACETATE,소듐데하이드로아세테이트
IODOPROPYNYL BUTYLCARBAMATE,아이오도프로피닐부틸카바메이트
AMMONIUM SILVER ZINC ALUMINUM SILICATE,암모늄은아연알루미늄실리케이트
"2-BROMO-2-NITROPROPANE-1,3-DIOL","2-브로모-2-나이트로프로판-1,3-디올"
ISOPROPYL BENZOATE,아이소프로필벤조에이트
BENZYLHEMIFORMAL,벤질헤미포름알
PHENYL MERCURIC BROMIDE,페닐머큐릭브로마이드
IMIDAZOLIDINYL UREA,이미다졸리디닐우레아
HEXAMIDINE PARABEN,헥사미딘파라벤
LAURTRIMONIUM CHLORIDE,라우트라이모늄클로라이드
BENZALKONIUM SACCHARINATE,벤잘코늄사카리네이트
CALCIUM PARABEN,칼슘파라벤
METHYLCHLOROISOTHIAZOLINONE,메칠클로로이소치아졸리논
FORMIC ACID,포믹애씨드
PIROCTONE OLAMINE,피록톤올아민
CAPRYLYLOXYPHENYLAMINO DIMETHYLTETRAHYDRO BENZOTHIAZINE CARBOXYLIC ACID,카프릴릴옥시페닐아미노다이메틸테트라하이드로벤조티아진카복실릭애씨드
METHYLPARABEN,메틸파라벤
SODIUM HYDROXYMETHYLGLYCINATE,소듐하이드록시메칠글리시네이트
SODIUM BUTYLPARABEN,소듐부틸파라벤
BEHENTRIMONIUM CHLORIDE,베헨트라이모늄클로라이드
N-OLEYL HYDROXYHEXANAMIDE,N-올레일하이드록시헥산아마이드
LACTOBACILLUS/RADISH ROOT FERMENT FILTRATE,락토바실러스/무뿌리발효여과물
DMDM HYDANTOIN,디엠디엠하이단토인
THIMEROSAL,티메로살
BUTYLPARABEN,부틸파라벤
SILVER CITRATE,실버시트레이트
SODIUM PHOSPHORUS/ZINC/CALCIUM/SILICON/ALUMINUM/SILVER OXIDES,소듐포스포러스/징크/칼슘/실리콘/알루미늄/실버옥사이드
CALCIUM PROPIONATE,칼슘프로피오네이트
STEARTRIMONIUM BROMIDE,스테아트라이모늄브로마이드
PHENYL MERCURIC BENZOATE,페닐머큐릭벤조에이트
LAURTRIMONIUM BROMIDE,라우트라이모늄브로마이드
SODIUM PARABEN,소듐파라벤
ETHYL LAUROYL ARGINATE HCL,에칠라우로일알지네이트하이드로클로라이드
CHLOROPHENE,클로로펜
COCOTRIMONIUM CHLORIDE,코코트라이모늄클로라이드
STEARTRIMONIUM CHLORIDE,스테아트라이모늄클로라이드
